Authors,Count
"Li, H.",7
"Hu, X.",5
"Ciolacu, M.",5
"Majumdar, R.",4
"Yang, Y.",4
"Ogata, H.",4
"Wang, Z.",4
"Liu, S.",3
"Wang, L.",3
"Li, J.",3
"Li, X.",3
"Sharma, K.",3
"Schroeder, N.",3
"Romine, W.",3
"Banerjee, T.",3
"Svasta, P.",3
"Pinkwart, N.",3
"Yun, H.",3
"Fortenbacher, A.",3
"Binder, L.",3
